Y,X,Pop01_percent,Pop02_percent,Pop03_percent,Pop04_percent,Pop05_percent,Pop06_percent,Pop07_percent,Pop08_percent,Pop09_percent,Pop10_percent
-6.4033932,-38.8577212,0.99648240 ,0.00351760 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-6.3667863,-39.3024851,0.41224835 ,0.58775165 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-3.4923739,-39.5855038,0.01993286 ,0.78182648 ,0.19372536 ,0.00451531 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-7.2435431,-39.3114169,0.50743339 ,0.44681717 ,0.04426217 ,0.00148728 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-5.1460611,-38.0934875,0.05109469 ,0.92765552 ,0.02124979 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-4.1787539,-38.4626319,0.01610793 ,0.49819424 ,0.47325378 ,0.01244406 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-5.1899719,-39.2918368,0.32817009 ,0.65963838 ,0.01219153 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-3.6854001,-40.3520013,0.62079384 ,0.37920616 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-5.9991742,-40.2913673,0.08883293 ,0.80813375 ,0.10303332 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-3.7278568,-40.9961848,0.67772495 ,0.32227505 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-20.8436965,-41.1400907,0.00715046 ,0.61414851 ,0.36637943 ,0.01232160 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-19.5330902,-40.6443353,0.02673567 ,0.65724095 ,0.30410194 ,0.01192144 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-20.6597273,-40.4966046,0.15187002 ,0.44325567 ,0.32988964 ,0.07498467 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-19.3703086,-40.0555877,0.23777664 ,0.73176599 ,0.03045737 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-18.7216965,-39.8634396,0.02831050 ,0.90222055 ,0.06946894 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-20.172567,-40.2449678,0.06254743 ,0.59034318 ,0.30785720 ,0.03742920 ,0.00182299 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-20.3439314,-40.3537045,0.16918255 ,0.53513084 ,0.22417543 ,0.05609825 ,0.01420821 ,0.00117673 ,0.00002798 ,0.00000000 ,0.00000000 ,0.00000000 
-16.3228485,-48.947403,0.25526983 ,0.64235823 ,0.10054702 ,0.00182493 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-15.8612561,-47.9583335,0.49780753 ,0.32104945 ,0.10643362 ,0.05132922 ,0.02336183 ,0.00001836 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-17.7466396,-48.61324,0.05214013 ,0.84682193 ,0.09528353 ,0.00429389 ,0.00146051 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-18.1690413,-47.9425322,0.62795363 ,0.34053233 ,0.02652946 ,0.00498459 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-15.5480502,-47.3250152,0.62704605 ,0.28400820 ,0.07693163 ,0.01201411 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-15.3200881,-49.1222025,0.01713892 ,0.48600794 ,0.45929337 ,0.03715459 ,0.00040518 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-16.7084021,-49.2900314,0.04466202 ,0.63697102 ,0.26872704 ,0.04260754 ,0.00658040 ,0.00038694 ,0.00006257 ,0.00000247 ,0.00000000 ,0.00000000 
-18.4115159,-49.2287801,0.38894630 ,0.60656446 ,0.00448924 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-17.8792302,-51.7180954,0.16781441 ,0.74307243 ,0.08911316 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-16.1979622,-47.9378101,0.19952407 ,0.62132886 ,0.15697773 ,0.02117311 ,0.00099623 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-17.5616307,-52.5533487,0.03537073 ,0.62116288 ,0.29019019 ,0.05327619 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-15.4525075,-47.6068322,0.85420278 ,0.14525930 ,0.00053792 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-4.9455013,-47.486047,0.19836306 ,0.71612615 ,0.08551080 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-4.2246886,-44.7882383,0.03771357 ,0.80745852 ,0.15482791 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-7.5201708,-46.0484017,0.01546535 ,0.61618712 ,0.31658741 ,0.05176011 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-4.8611412,-43.3487235,0.00994018 ,0.14683988 ,0.53100240 ,0.28879476 ,0.02342278 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-3.7295748,-43.3495148,0.00926260 ,0.23066363 ,0.68257578 ,0.06393688 ,0.01356111 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-4.462115,-43.8858171,0.04776648 ,0.59510561 ,0.35511329 ,0.00201462 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-5.5192044,-47.4668048,0.16965183 ,0.63923011 ,0.14794961 ,0.03580667 ,0.00651588 ,0.00081832 ,0.00002758 ,0.00000000 ,0.00000000 ,0.00000000 
-4.5659986,-45.1298122,0.16250852 ,0.74053170 ,0.09695978 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-2.524934,-45.0932081,0.03341172 ,0.87686324 ,0.08972504 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-6.3480548,-47.3906274,0.05358999 ,0.64702948 ,0.29938053 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-3.6567947,-45.3746577,0.10114182 ,0.82269541 ,0.07616277 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-2.5414181,-44.2297116,0.18730735 ,0.50321006 ,0.22770923 ,0.07173080 ,0.00964236 ,0.00040020 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-4.5674183,-44.6064596,0.02572907 ,0.55767278 ,0.41659815 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-21.4192548,-45.9551735,0.50014298 ,0.48507830 ,0.01477872 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-18.6485027,-48.192506,0.13876555 ,0.83515194 ,0.02608251 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-19.5900856,-46.937082,0.11304613 ,0.72828610 ,0.15269613 ,0.00597164 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-20.2874311,-45.5430467,0.33639773 ,0.62799081 ,0.03503085 ,0.00058062 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-21.2172045,-43.7696023,0.09781695 ,0.66775321 ,0.21872937 ,0.01570047 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
