ID,Lon,Lat,Canopy_cover,Treecover_Gini
209,-49.3959434,-25.5840201,0.171521,0.332333
210,-53.5174392,-24.3984122,0.124664,0.212223
211,-51.2622647,-23.2870271,0.171622,0.175102
212,-49.5421533,-25.464007,0.186088,0.245214
213,-52.3847102,-24.0300008,0.157907,0.195163
214,-53.4525324,-24.9558989,0.163545,0.207058
215,-50.0015567,-24.7934694,0.151982,0.169823
216,-52.6102249,-23.6649684,0.175465,0.27441
217,-49.2299696,-25.4424981,0.190288,0.307035
218,-53.0647333,-25.747527,0.214361,0.209229
219,-49.3123148,-25.6654814,0.122543,0.296312
220,-54.5472752,-25.4955332,0.231382,0.293203
221,-53.0526714,-26.0647342,0.211,0.209099
222,-54.2509811,-24.0914185,0.22192,0.198949
223,-51.4774825,-25.3815502,0.172982,0.254716
224,-48.5865869,-25.9020462,0.226752,0.259038
225,-51.0504641,-23.2709612,0.193803,0.170957
226,-50.6505816,-25.4791188,0.15869,0.242299
227,-54.062153,-24.550057,0.218853,0.198302
228,-51.9260015,-23.4181247,0.186087,0.216487
229,-48.5299681,-25.8015031,0.22562,0.218532
230,-54.0992747,-25.2895082,0.235223,0.136869
231,-53.8383414,-24.2868621,0.164828,0.207698
232,-48.5456376,-25.5493883,0.112224,0.255501
233,-52.4587794,-23.0789695,0.180482,0.196148
234,-52.679375,-26.2311189,0.204602,0.206636
235,-50.1644848,-25.0981117,0.174379,0.270887
236,-48.4658575,-25.6829111,0.199752,0.214644
237,-51.3728361,-23.31423,0.17486,0.234785
238,-54.4061543,-25.442003,0.182263,0.16525
239,-50.6321441,-24.3268924,0.153723,0.264277
240,-53.7396388,-24.7318789,0.174977,0.235195
241,-53.3050378,-23.7600661,0.180148,0.227167
242,-42.3375012,-22.8673489,0.267301,0.191957
243,-42.0309086,-22.8862423,0.149954,0.196971
244,-41.3172211,-21.7555922,0.162739,0.179133
245,-42.2195806,-22.8417119,0.209771,0.217749
246,-43.7874793,-22.8703399,0.274456,0.189361
247,-41.7879836,-22.3866016,0.161647,0.273515
248,-42.829311,-22.9124236,0.331781,0.158648
